,tribe,creature_count,avg_mv,avg_split,std_split,white_split,blue_split,black_split,red_split,green_split
0,spellshaper,54,2.6,0.2,0.007407407407407407,18.52,20.37,20.37,20.37,20.37
1,elder,52,6.2,0.2,0.015936381457791915,19.05,18.1,22.86,20.0,20.0
2,avatar,137,5.7,0.2,0.016035409687705407,18.97,19.83,21.98,17.67,21.55
3,god,55,4.3,0.2,0.020628424925175866,18.09,19.15,21.28,23.4,18.09
4,sliver,118,3.3,0.2,0.02182178902359924,22.62,17.86,17.86,22.62,19.05
5,noble,190,3.9,0.2,0.02252075400746647,20.47,18.79,24.16,17.79,18.79
6,horse,52,3.4,0.2,0.030424000964875464,25.45,18.18,20.0,16.36,20.0
7,wall,130,2.8,0.19999999999999998,0.05996211769134527,26.12,28.36,14.18,16.42,14.93
8,spirit,662,3.9,0.2,0.062162831030381026,28.94,23.0,21.83,11.37,14.86
9,human,4312,3.2,0.2,0.0630189110863791,31.89,19.19,16.39,19.05,13.48
10,hero,58,3.5,0.2,0.07027283689263066,31.11,20.0,8.89,20.0,20.0
11,ally,207,3.3,0.2,0.07990378829952548,34.62,15.77,10.77,20.38,18.46
12,eldrazi,104,3.7,0.19999999999999998,0.0855377370495713,3.97,27.78,26.19,19.05,23.02
13,mutant,146,4.0,0.2,0.08614917138403615,7.39,26.11,17.24,16.75,32.51
14,artificer,293,3.3,0.2,0.0888912112242278,23.56,30.1,9.95,27.49,8.9
15,bard,51,3.0,0.2,0.09168500049206645,18.18,11.69,9.09,32.47,28.57
16,advisor,166,3.4,0.2,0.0921997042591443,33.06,27.69,17.36,7.44,14.46
17,dog,141,3.1,0.2,0.09246573350759328,27.85,4.43,14.56,28.48,24.68
18,halfling,50,2.7,0.2,0.09844469525927417,33.33,13.89,19.44,5.56,27.78
19,elemental,641,4.4,0.2,0.09876338419030445,9.24,20.25,9.75,35.44,25.32
20,detective,89,3.2,0.2,0.09965238013687519,24.39,37.4,13.01,9.76,15.45
21,warrior,1239,3.4,0.2,0.09977069709415325,16.48,5.98,15.97,35.24,26.34
22,dragon,424,5.6,0.2,0.10545094589922266,12.08,16.67,14.07,40.83,16.36
23,phyrexian,423,3.7,0.2,0.1063420020864135,16.12,14.08,40.82,11.22,17.76
24,citizen,106,2.8,0.2,0.10802919708029196,33.58,9.49,8.76,16.06,32.12
25,pilot,60,2.6,0.2,0.11083915625606679,34.21,17.11,6.58,31.58,10.53
26,drone,66,3.3,0.2,0.11091538316312224,0.0,33.33,25.33,18.67,22.67
27,robot,69,3.1,0.2,0.11298765679902897,24.39,34.15,7.32,28.05,6.1
28,giant,241,5.2,0.2,0.11475632481265267,20.42,9.51,11.27,41.55,17.25
29,scout,293,2.7,0.2,0.11743260971187511,26.27,17.8,5.37,11.58,38.98
30,rogue,601,3.1,0.2,0.12161439667309332,5.83,32.77,34.97,18.65,7.77
31,ninja,97,3.5,0.2,0.1252356016707166,10.66,35.25,35.25,7.38,11.48
32,monk,150,3.3,0.2,0.12857286251640196,41.24,22.16,1.03,18.56,17.01
33,turtle,76,4.2,0.2,0.13051818428455025,9.09,39.39,6.06,14.14,31.31
34,villain,64,3.8,0.20000000000000004,0.13077207037542887,2.3,22.99,41.38,21.84,11.49
35,peasant,50,2.7,0.2,0.13514426167079602,41.38,5.17,8.62,15.52,29.31
36,dinosaur,212,4.7,0.2,0.13616897976599773,17.6,6.37,5.24,30.71,40.07
37,shaman,487,3.3,0.2,0.14491823194323797,3.7,5.64,18.04,40.9,31.72
38,nightmare,95,4.0,0.2,0.14524091086826874,8.66,22.83,47.24,11.02,10.24
39,cat,338,3.3,0.2,0.14573596960275645,44.63,6.07,7.94,13.08,28.27
40,beast,524,4.6,0.2,0.1466376689468127,9.53,11.95,10.02,20.19,48.3
41,archer,115,3.1,0.2,0.15346031600093107,20.74,4.44,8.15,18.52,48.15
42,mercenary,91,3.3,0.2,0.156043230535382,14.29,2.68,45.54,29.46,8.04
43,knight,529,3.5,0.2,0.15848040903585595,50.52,7.62,19.43,14.05,8.37
44,shapeshifter,139,3.7,0.2,0.1600925658162478,10.0,51.67,16.11,9.44,12.78
45,bird,438,3.4,0.19999999999999998,0.16117734246063403,39.38,39.96,8.97,4.68,7.02
46,wizard,1213,3.3,0.2,0.16419674176432314,12.12,52.4,14.68,13.8,7.0
47,insect,251,3.4,0.2,0.1659363061999718,4.1,6.14,33.45,10.58,45.73
48,orc,114,3.3,0.2,0.16756495607331262,10.07,9.4,29.53,48.32,2.68
49,samurai,82,3.5,0.2,0.169222965185016,48.45,3.09,11.34,29.9,7.22
